model,test_subject,accuracy
EEGNet,1,0.7430
EEGNet,2,0.4930
EEGNet,3,0.8600
EEGNet,4,0.5280
EEGNet,5,0.5660
EEGNet,6,0.4110
EEGNet,7,0.8020
EEGNet,8,0.7660
EEGNet,9,0.7650
ATCNet,1,0.7120
ATCNet,2,0.5290
ATCNet,3,0.8700
ATCNet,4,0.4930
ATCNet,5,0.4340
ATCNet,6,0.3960
ATCNet,7,0.6700
ATCNet,8,0.8190
ATCNet,9,0.7280
EEGConformer,1,0.8990
EEGConformer,2,0.6310
EEGConformer,3,0.9090
EEGConformer,4,0.6920
EEGConformer,5,0.6740
EEGConformer,6,0.5740
EEGConformer,7,0.9030
EEGConformer,8,0.8720
EEGConformer,9,0.8030
CTNet,1,0.7010
CTNet,2,0.4960
CTNet,3,0.8910
CTNet,4,0.5240
CTNet,5,0.5030
CTNet,6,0.3590
CTNet,7,0.7120
CTNet,8,0.8330
CTNet,9,0.7560
HCT-Net,2,0.5690
HCT-Net,3,0.8980
HCT-Net,4,0.6640
HCT-Net,5,0.6350
HCT-Net,6,0.5590
HCT-Net,7,0.8510
HCT-Net,8,0.8120
HCT-Net,9,0.7650
FBCSP,1,0.7640
FBCSP,2,0.4600
FBCSP,3,0.8670
FBCSP,4,0.5980
FBCSP,5,0.5070
FBCSP,6,0.4150
FBCSP,7,0.7530
FBCSP,8,0.7410
FBCSP,9,0.7140
HCT-Net,1,0.8368
