model,test_subject,seed,seconds,accuracy,kappa,precision,recall,f1,confusion
FBCSP,1,0,56.2,0.5434027777777778,0.3912037037037037,0.5604921688955302,0.5434027777777778,0.5323199566515266,"[[114, 26, 1, 3], [82, 56, 5, 1], [14, 20, 55, 55], [24, 8, 24, 88]]"
FBCSP,2,0,43.4,0.2916666666666667,0.05555555555555558,0.29334591036866287,0.2916666666666667,0.2907251439429657,"[[42, 53, 34, 15], [34, 47, 39, 24], [30, 34, 45, 35], [47, 25, 38, 34]]"
FBCSP,3,0,52.2,0.609375,0.47916666666666663,0.6363055502090934,0.609375,0.61357365380791,"[[85, 10, 9, 40], [8, 103, 15, 18], [9, 20, 67, 48], [1, 9, 38, 96]]"
FBCSP,4,0,56.2,0.3524305555555556,0.13657407407407407,0.3735402156528917,0.3524305555555556,0.34707123937276296,"[[54, 19, 52, 19], [22, 32, 67, 23], [20, 6, 32, 86], [21, 14, 24, 85]]"
FBCSP,5,0,45.5,0.2934027777777778,0.05787037037037035,0.31665190345419164,0.2934027777777778,0.2756747574337866,"[[40, 78, 14, 12], [29, 80, 21, 14], [44, 64, 21, 15], [47, 61, 8, 28]]"
FBCSP,6,0,55.9,0.3229166666666667,0.09722222222222221,0.3199265071427527,0.32291666666666663,0.31441764001408756,"[[65, 38, 18, 23], [44, 56, 25, 19], [51, 24, 42, 27], [56, 31, 34, 23]]"
FBCSP,7,0,54.4,0.4322916666666667,0.24305555555555558,0.4673998060762766,0.4322916666666667,0.43827181345077193,"[[65, 65, 11, 3], [46, 70, 25, 3], [23, 55, 43, 23], [16, 31, 26, 71]]"
FBCSP,8,0,53.7,0.5590277777777778,0.4120370370370371,0.6487304900409292,0.5590277777777778,0.5536494825709656,"[[119, 1, 21, 3], [39, 64, 33, 8], [43, 2, 89, 10], [22, 1, 71, 50]]"
FBCSP,9,0,49.3,0.5729166666666666,0.4305555555555556,0.5788361347640921,0.5729166666666667,0.570727957497948,"[[64, 62, 12, 6], [16, 75, 20, 33], [12, 19, 89, 24], [10, 7, 25, 102]]"
EEGNet,1,0,443.2,0.7083333333333334,0.6111111111111112,0.7360117538136659,0.7083333333333333,0.6729195598760817,"[[130, 14, 0, 0], [25, 117, 2, 0], [17, 19, 34, 74], [9, 3, 5, 127]]"
EEGNet,2,0,150.3,0.2829861111111111,0.04398148148148151,0.2779784165340588,0.2829861111111111,0.27948315603414353,"[[46, 37, 40, 21], [19, 56, 45, 24], [17, 40, 19, 68], [49, 34, 19, 42]]"
EEGNet,3,0,201.4,0.7378472222222222,0.650462962962963,0.7390363255655015,0.7378472222222223,0.7305567083892207,"[[128, 4, 0, 12], [13, 125, 1, 5], [7, 36, 72, 29], [2, 16, 26, 100]]"
EEGNet,4,0,152.0,0.359375,0.14583333333333337,0.4907150147836711,0.359375,0.3432015337584345,"[[22, 4, 106, 12], [7, 27, 93, 17], [6, 2, 86, 50], [3, 8, 61, 72]]"
EEGNet,5,0,232.3,0.3784722222222222,0.17129629629629628,0.4418898006271792,0.3784722222222222,0.3378054536493355,"[[69, 57, 18, 0], [30, 94, 19, 1], [40, 54, 46, 4], [42, 56, 37, 9]]"
EEGNet,6,0,162.1,0.4461805555555556,0.26157407407407407,0.455460222374643,0.4461805555555555,0.447740134752694,"[[71, 28, 23, 22], [16, 67, 32, 29], [18, 22, 71, 33], [13, 26, 57, 48]]"
EEGNet,7,0,156.0,0.4079861111111111,0.21064814814814814,0.45580061940970706,0.40798611111111116,0.4169332678849247,"[[59, 47, 35, 3], [22, 65, 50, 7], [27, 33, 61, 23], [4, 7, 83, 50]]"
EEGNet,8,0,156.9,0.6545138888888888,0.5393518518518519,0.6412484826386429,0.6545138888888888,0.6136281236108361,"[[132, 6, 3, 3], [13, 114, 1, 16], [73, 32, 23, 16], [10, 9, 17, 108]]"
EEGNet,9,0,258.9,0.6302083333333334,0.5069444444444444,0.6424080185036687,0.6302083333333333,0.6266988227626226,"[[122, 18, 3, 1], [24, 73, 29, 18], [17, 17, 95, 15], [3, 3, 65, 73]]"
ATCNet,1,0,650.9,0.7534722222222222,0.6712962962962963,0.7775337284623408,0.7534722222222222,0.7391763098007653,"[[119, 19, 2, 4], [23, 121, 0, 0], [9, 7, 59, 69], [1, 0, 8, 135]]"
ATCNet,2,0,525.2,0.3090277777777778,0.07870370370370372,0.3135493424385255,0.3090277777777778,0.3099353686481544,"[[45, 32, 53, 14], [28, 45, 54, 17], [13, 19, 47, 65], [50, 29, 24, 41]]"
ATCNet,3,0,607.8,0.7881944444444444,0.7175925925925926,0.7906545801610079,0.7881944444444444,0.7853884392241713,"[[134, 1, 0, 9], [20, 121, 1, 2], [24, 11, 90, 19], [2, 2, 31, 109]]"
ATCNet,4,0,676.7,0.4253472222222222,0.23379629629629628,0.5063801613097387,0.4253472222222222,0.4189061718473483,"[[34, 16, 64, 30], [8, 49, 60, 27], [4, 4, 71, 65], [5, 9, 39, 91]]"
ATCNet,5,0,649.4,0.3784722222222222,0.17129629629629628,0.45133965037245466,0.37847222222222227,0.3566420712909133,"[[58, 76, 9, 1], [22, 100, 19, 3], [21, 77, 36, 10], [37, 65, 18, 24]]"
ATCNet,6,0,495.7,0.3871527777777778,0.18287037037037035,0.4254211618539733,0.3871527777777778,0.3882515334486033,"[[50, 27, 48, 19], [12, 56, 57, 19], [9, 23, 77, 35], [12, 21, 71, 40]]"
ATCNet,7,0,451.7,0.4340277777777778,0.24537037037037035,0.5179166213919266,0.4340277777777778,0.4341931920673463,"[[53, 58, 31, 2], [14, 94, 35, 1], [18, 53, 62, 11], [3, 7, 93, 41]]"
ATCNet,8,0,811.3,0.6267361111111112,0.5023148148148149,0.6050822897305751,0.6267361111111112,0.5824362882853107,"[[127, 8, 2, 7], [17, 107, 5, 15], [58, 38, 20, 28], [9, 15, 13, 107]]"
ATCNet,9,0,305.4,0.6145833333333334,0.48611111111111116,0.6127972822593075,0.6145833333333334,0.6128905799374358,"[[109, 33, 2, 0], [21, 74, 26, 23], [25, 21, 76, 22], [3, 2, 44, 95]]"
HCT-Net,1,0,206.2,0.7274305555555556,0.6365740740740741,0.7811717407986979,0.7274305555555556,0.6951684502666791,"[[120, 22, 0, 2], [17, 127, 0, 0], [5, 12, 36, 91], [2, 3, 3, 136]]"
HCT-Net,2,0,141.2,0.2829861111111111,0.04398148148148151,0.25220710205363545,0.28298611111111105,0.2561110037289185,"[[48, 64, 9, 23], [30, 73, 24, 17], [24, 33, 6, 81], [53, 51, 4, 36]]"
HCT-Net,3,0,244.3,0.7013888888888888,0.6018518518518519,0.7117958886187806,0.7013888888888888,0.6905367856212608,"[[132, 7, 0, 5], [33, 105, 2, 4], [28, 34, 62, 20], [8, 11, 20, 105]]"
HCT-Net,4,0,373.7,0.3472222222222222,0.12962962962962965,0.43369326259661156,0.3472222222222222,0.3365693936832992,"[[54, 2, 51, 37], [23, 20, 57, 44], [11, 3, 44, 86], [13, 6, 43, 82]]"
HCT-Net,5,0,153.7,0.34375,0.125,0.36852072057295937,0.34375,0.3054409239858883,"[[91, 41, 5, 7], [51, 70, 18, 5], [65, 51, 19, 9], [73, 39, 14, 18]]"
