model,test_subject,seed,seconds,accuracy,kappa,precision,recall,f1,predictions,validation,confusion
base,1,0,244.3,0.7118055555555556,0.6157407407407407,0.7691113750430423,0.7118055555555556,0.6786652392513717,321001211200031111201030033100101013310310123121003112021302302103321303003102303331013131111330130333103133313013033133011331003113112033332000010321230300133132333013001133030103020131301303303130133131101331111332311300303000012302303103030302332122011131333130302303011030331030103010011010131302103333303100300233010110131033223000331000031300031100201333033133101333310313133130000003021302303133320313003101302331013133111330130332003133300313033133011030003103013033333010010330330300102130333113011133130103031133301313003030033030100330010333310310303100013313333303,0.3194,"[[128, 15, 0, 1], [27, 117, 0, 0], [10, 12, 35, 87], [11, 1, 2, 130]]"
base,2,0,114.2,0.3072916666666667,0.07638888888888884,0.305287474543424,0.3072916666666667,0.2893270606256251,111023113101100320200110111213031111233310301213021012112111101100101303110100111113011113121121110101111302310031121111113111313331011133122300011033102111101023131313011302201333112333133220201310321111002113333113122011233311222120011123010011233002212101112323011331000122232113331313111111010011131000111112101331111322211321001111111111102030100112111003000111101330110001000001121113021121211111311011213113211121111012111111110113312301010310030001122030011130133102331123110031200013002013123233311023113331032133131313310130103111113331331331303322331011333313330213,0.8177,"[[35, 77, 16, 16], [20, 84, 26, 14], [18, 38, 24, 64], [45, 59, 6, 34]]"
base,3,0,231.3,0.7256944444444444,0.6342592592592593,0.7315665508120751,0.7256944444444444,0.7155904915742989,011010110301103323300100230201010100121323223333200001231000030000201332030032101222210312132130001100031301202133320313102301232331013120111230120223001133310003033020011231002132130032302010000030030300030130131113030103030202020131301322103100023131101333133332101210203113322312203101001000130302003232201000120102010000121323213333200001221000030100201032033132001322320332113020003002010332303133330313100003103331013131111230000013003033300013012133011331033132113032131010000011030300111123323113013122030203020012301313203130023121101331111332301210303000021302123203,0.4149,"[[135, 2, 0, 7], [32, 103, 1, 8], [23, 27, 68, 26], [5, 6, 21, 112]]"
base,4,0,212.0,0.3506944444444444,0.1342592592592593,0.42059521756270635,0.3506944444444445,0.35592601329616297,033103301130333103232232231132023223222310133322001313001033310233322031113013322332223222322301001031333332123332102123223233223333123330322222300221033233123333323233033322033332232232233122100122110203302110012013222102222222222233222220030332022122220333222223232322233222213323233222021220210200101222221321232223120302222212123322000102030103303222222323203203323222222223232322110313013232322323022333222333323132223233333023100131032222033333323213221233232323132233322323303111033232222332232232322332303122222313333323113332313103201031333233303023222233333232203222,0.3507,"[[42, 12, 61, 29], [13, 39, 62, 30], [7, 7, 51, 79], [13, 12, 49, 70]]"
base,5,0,128.1,0.328125,0.10416666666666663,0.3353885852969545,0.328125,0.2586468352329478,211111100110100000010113030102010200111210120011000010111101111001131101111000121110101112211111111111000101102000200010101101103101110000111001110103101110211211111130011221000000110111000011101110101000111111011111111110010110111101000301111111111101101011031111111110012100112113011101100010111010111122011103110300010110111330011000110100010001111111111000012100001101101110201101111111111010312111101010111101011022020101100000131110100010110110011101101011101201120000011110110100000100301102000101001100100130101111011011000100112131001102111010000000110010103110110001,0.4392,"[[68, 70, 2, 4], [30, 104, 8, 2], [52, 74, 11, 7], [71, 59, 8, 6]]"
base,6,0,106.1,0.3055555555555556,0.07407407407407407,0.2983894033606677,0.3055555555555556,0.2963107497766748,000023022033220330101332001122230120103303101030003302323023212120302313222200112332100200012302012303233333132002120313312313312310000013132330000323330323123333333302332303322313023203313230203223230331130330323003322313232132000303310311003003133110213313001231332231021131310133123133000020000202002222300200030012000102111101011011002000300003033100301013010030201110300210130013000003233333323313030302011303331011331003131100030332333333332332231102232232330302022031333120002330323332323033033133132220201322133031221133203031033231333303023223313323103122330213011302,0.4583,"[[67, 19, 28, 30], [42, 31, 29, 42], [24, 25, 21, 74], [29, 25, 33, 57]]"
base,7,0,165.2,0.3975694444444444,0.1967592592592593,0.41711255683648324,0.3975694444444444,0.3968368318930857,022010202200023322010200100013002110103013233322120110021111021020301230022133001021210220313131200131111201202002211112101211212332212121121220021102011102210021131120101121133100012031020310000232020303022030033210011003020102021120331212102020003120002031331320101103303011222222322203012212011200002321200002000000000120210012012222201020020000020320030221022022112130200310002020122122232201203123211212121102202230003120021020222312001233220112030133022132123203110020103010002020220233121230232120002003033000120130301203222113111121112221111321311011313210312311113103,0.6701,"[[83, 29, 20, 12], [38, 70, 31, 5], [49, 45, 31, 19], [12, 6, 81, 45]]"
base,8,0,271.0,0.6006944444444444,0.46759259259259256,0.6322799048910537,0.6006944444444444,0.5862573861661453,001012101302103333300000200023010110121003002233323001031200031100002330033033100200320320200000003202021301002233330002202102022001013030101130230220001002110003032203001030003100100030000000000230030300232030303003023203030003020000302200203120332130002332211332302000102000210320122001002020101301001330300100230320010100321313023333301001231000001120200331033020303132330213300120003200013302002233300203000101300323023330110030102220002023210220030130012031003002130321230110100021030300130131000110010123000013000102203000003220033032102331102302000110301000000310320200,0.5903,"[[135, 2, 5, 2], [39, 66, 28, 11], [69, 15, 46, 14], [24, 4, 17, 99]]"
base,9,0,153.7,0.5086805555555556,0.34490740740740744,0.5900324935258029,0.5086805555555556,0.5084489901925521,300132100011331222202122211112133033222312110130100202213122012112321222223211202332032122202232131212012222010130222231232122220200231122022332002212220223122030222300220202222222022322221022211222222021121122321103103220122232122022201222102220322132022101213020003312222022200102120122011010111311102332301100320212121111121223223123221001220201031210211322022233012222321022212221102102022202102222200312202202202222202222222030020222102222200223132223020222102202222032222021110221231200232232323203022222121203122222212322112230122022212322222322202221212110222222222211,0.7812,"[[78, 52, 13, 1], [14, 49, 78, 3], [9, 14, 112, 9], [4, 1, 85, 54]]"
C1,1,0,110.8,0.6631944444444444,0.5509259259259259,0.7090002941718828,0.6631944444444444,0.6441002918425323,321001221200030000201030030133000003310303023021003102020302302033320303002002303320013021010330130023103033313203033033000331003103012033332000000320220300131032323013001033030103020131301303303030023030101321101322301300302000012302203103020332332032011120333020302303001030321030102000010010131302103333303100330232010110120033223300231000030200030100302333032033001332220302033020000002021302302133220213033102302331012132101220030332002023200303033133001030023002003022033000000320330300033132333003000123120203030132301303003030022030000330000332300300303000032303233303,0.316,"[[138, 3, 1, 2], [86, 57, 1, 0], [10, 8, 68, 58], [5, 0, 20, 119]]"
