model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
eegnet,none,3657608,0,1,2,0.2986,0.0648,0.691,0.588,,,51,107.4,0.1
eegnet,bn,3657608,0,1,2,0.276,0.0347,0.717,0.6227,,,51,107.4,0.1
eegnet,tent,3657608,0,1,2,0.2882,0.0509,0.717,0.6227,,,51,107.4,0.3
eegnet,pl80,3657608,0,1,2,0.2882,0.0509,0.6892,0.5856,47,249,51,107.4,1.0
eegnet,pl90,3657608,0,1,2,0.283,0.044,0.6944,0.5926,18,134,51,107.4,0.7
eegnet,none,3657608,0,2,3,0.7847,0.713,0.3142,0.0856,,,43,94.2,0.1
eegnet,bn,3657608,0,2,3,0.7778,0.7037,0.2882,0.0509,,,43,94.2,0.1
eegnet,tent,3657608,0,2,3,0.7708,0.6944,0.3021,0.0694,,,43,94.2,0.3
eegnet,pl80,3657608,0,2,3,0.8073,0.7431,0.3038,0.0718,240,62,43,94.2,0.9
eegnet,pl90,3657608,0,2,3,0.7969,0.7292,0.3056,0.0741,116,20,43,94.2,0.6
eegnet,none,3657608,0,3,4,0.4167,0.2222,0.7622,0.6829,,,39,89.8,0.1
eegnet,bn,3657608,0,3,4,0.4253,0.2338,0.7778,0.7037,,,39,89.8,0.1
eegnet,tent,3657608,0,3,4,0.4392,0.2523,0.7812,0.7083,,,39,89.8,0.3
eegnet,pl80,3657608,0,3,4,0.4358,0.2477,0.7708,0.6944,96,173,39,89.8,0.8
eegnet,pl90,3657608,0,3,4,0.4358,0.2477,0.7587,0.6782,42,81,39,89.8,0.5
eegnet,none,3657608,0,4,5,0.3472,0.1296,0.4444,0.2593,,,28,79.0,0.1
eegnet,bn,3657608,0,4,5,0.3785,0.1713,0.4514,0.2685,,,28,79.0,0.1
eegnet,tent,3657608,0,4,5,0.3802,0.1736,0.4392,0.2523,,,28,79.0,0.3
eegnet,pl80,3657608,0,4,5,0.3507,0.1343,0.4514,0.2685,50,87,28,79.0,0.5
eegnet,pl90,3657608,0,4,5,0.3472,0.1296,0.4479,0.2639,0,32,28,79.0,0.3
eegnet,none,3657608,0,5,6,0.5017,0.3356,0.3194,0.0926,,,159,207.7,0.1
eegnet,bn,3657608,0,5,6,0.4948,0.3264,0.3594,0.1458,,,159,207.7,0.1
eegnet,tent,3657608,0,5,6,0.4861,0.3148,0.3524,0.1366,,,159,207.7,0.3
eegnet,pl80,3657608,0,5,6,0.4965,0.3287,0.3212,0.0949,114,66,159,207.7,0.6
eegnet,pl90,3657608,0,5,6,0.4983,0.331,0.3177,0.0903,32,18,159,207.7,0.3
eegnet,none,3657608,0,6,7,0.4497,0.2662,0.4792,0.3056,,,78,128.3,0.1
eegnet,bn,3657608,0,6,7,0.5087,0.3449,0.5,0.3333,,,78,128.3,0.1
eegnet,tent,3657608,0,6,7,0.5174,0.3565,0.4896,0.3194,,,78,128.3,0.3
eegnet,pl80,3657608,0,6,7,0.4566,0.2755,0.4705,0.294,74,107,78,128.3,0.6
eegnet,pl90,3657608,0,6,7,0.4497,0.2662,0.4844,0.3125,31,42,78,128.3,0.4
eegnet,none,3657608,0,7,8,0.6493,0.5324,0.3733,0.1644,,,36,87.2,0.1
eegnet,bn,3657608,0,7,8,0.6736,0.5648,0.4201,0.2269,,,36,87.2,0.1
eegnet,tent,3657608,0,7,8,0.6771,0.5694,0.4323,0.2431,,,36,87.2,0.3
eegnet,pl80,3657608,0,7,8,0.6632,0.5509,0.375,0.1667,137,53,36,87.2,0.6
eegnet,pl90,3657608,0,7,8,0.6476,0.5301,0.3733,0.1644,53,18,36,87.2,0.4
eegnet,none,3657608,0,8,9,0.5104,0.3472,0.6458,0.5278,,,109,164.2,0.1
eegnet,bn,3657608,0,8,9,0.5694,0.4259,0.6337,0.5116,,,109,164.2,0.1
eegnet,tent,3657608,0,8,9,0.5747,0.4329,0.6493,0.5324,,,109,164.2,0.3
eegnet,pl80,3657608,0,8,9,0.5017,0.3356,0.6424,0.5231,240,171,109,164.2,1.1
eegnet,pl90,3657608,0,8,9,0.5,0.3333,0.6493,0.5324,139,75,109,164.2,0.7
eegnet,none,3657608,0,9,1,0.7153,0.6204,0.6354,0.5139,,,38,92.0,0.1
eegnet,bn,3657608,0,9,1,0.7153,0.6204,0.658,0.544,,,38,92.0,0.1
eegnet,tent,3657608,0,9,1,0.7188,0.625,0.6545,0.5394,,,38,92.0,0.3
eegnet,pl80,3657608,0,9,1,0.7101,0.6134,0.5955,0.4606,187,202,38,92.0,1.1
eegnet,pl90,3657608,0,9,1,0.7205,0.6273,0.6059,0.4745,78,111,38,92.0,0.7
