model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
base,none,6325455,0,1,2,0.2917,0.0556,0.7153,0.6204,,,243,621.4,0.1
base,bn,6325455,0,1,2,0.3021,0.0694,0.7274,0.6366,,,243,621.4,0.3
base,none,3fa9484,0,2,3,0.7552,0.6736,0.3212,0.0949,,,105,286.2,0.1
base,bn,3fa9484,0,2,3,0.7691,0.6921,0.3368,0.1157,,,105,286.2,0.2
base,none,3fa9484,0,3,4,0.3872,0.1829,0.7448,0.6597,,,86,249.5,0.1
base,bn,3fa9484,0,3,4,0.4236,0.2315,0.7587,0.6782,,,86,249.5,0.2
base,none,3fa9484,0,4,5,0.3177,0.0903,0.316,0.088,,,129,332.1,0.1
base,bn,3fa9484,0,4,5,0.3524,0.1366,0.4045,0.206,,,129,332.1,0.2
base,none,3fa9484,0,5,6,0.4097,0.213,0.3628,0.1505,,,147,361.9,0.1
base,bn,3fa9484,0,5,6,0.4618,0.2824,0.401,0.2014,,,147,361.9,0.2
base,none,3fa9484,0,6,7,0.2708,0.0278,0.3993,0.1991,,,181,413.2,0.1
base,bn,3fa9484,0,6,7,0.467,0.2894,0.4705,0.294,,,181,413.2,0.2
base,none,3fa9484,0,7,8,0.5955,0.4606,0.3628,0.1505,,,151,358.1,0.1
base,bn,3fa9484,0,7,8,0.6372,0.5162,0.4583,0.2778,,,151,358.1,0.2
base,none,3fa9484,0,8,9,0.559,0.412,0.6042,0.4722,,,104,284.8,0.1
base,bn,3fa9484,0,8,9,0.5625,0.4167,0.6111,0.4815,,,104,284.8,0.2
base,none,3fa9484,0,9,1,0.7222,0.6296,0.6007,0.4676,,,183,427.7,0.1
base,bn,3fa9484,0,9,1,0.7257,0.6343,0.5677,0.4236,,,183,427.7,0.2
