model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
bnorm,none,6325455,2,1,2,0.2951,0.0602,0.6875,0.5833,,,15,152.1,0.1
bnorm,bn,6325455,2,1,2,0.2812,0.0417,0.7066,0.6088,,,15,152.1,0.3
bnorm,none,6325455,2,2,3,0.7344,0.6458,0.3125,0.0833,,,52,219.5,0.1
bnorm,bn,6325455,2,2,3,0.7118,0.6157,0.3056,0.0741,,,52,219.5,0.3
bnorm,none,6325455,2,3,4,0.3333,0.1111,0.6302,0.5069,,,65,233.6,0.1
bnorm,bn,6325455,2,3,4,0.3542,0.1389,0.625,0.5,,,65,233.6,0.2
bnorm,none,6325455,2,4,5,0.3264,0.1019,0.349,0.1319,,,15,140.6,0.1
bnorm,bn,6325455,2,4,5,0.342,0.1227,0.3819,0.1759,,,15,140.6,0.3
bnorm,none,6325455,2,5,6,0.375,0.1667,0.3125,0.0833,,,16,147.0,0.1
bnorm,bn,6325455,2,5,6,0.4236,0.2315,0.3559,0.1412,,,16,147.0,0.3
bnorm,none,6325455,2,6,7,0.434,0.2454,0.4097,0.213,,,7,128.5,0.1
bnorm,bn,6325455,2,6,7,0.474,0.2986,0.4097,0.213,,,7,128.5,0.2
bnorm,none,6325455,2,7,8,0.5885,0.4514,0.3628,0.1505,,,109,352.6,0.1
bnorm,bn,6325455,2,7,8,0.6233,0.4977,0.3802,0.1736,,,109,352.6,0.2
bnorm,none,6325455,2,8,9,0.5035,0.338,0.5382,0.3843,,,11,124.1,0.1
bnorm,bn,6325455,2,8,9,0.5191,0.3588,0.5729,0.4306,,,11,124.1,0.3
bnorm,none,6325455,2,9,1,0.7153,0.6204,0.5521,0.4028,,,50,217.5,0.1
bnorm,bn,6325455,2,9,1,0.7101,0.6134,0.5781,0.4375,,,50,217.5,0.2
