model,variant,commit,seed,test_subject,val_subject,val_acc,val_kappa,test_acc,test_kappa,pl_kept_val,pl_kept_test,best_epoch,train_seconds,adapt_seconds
c1,none,3fa9484,1,1,2,0.3125,0.0833,0.6944,0.5926,,,159,374.7,0.1
c1,bn,3fa9484,1,1,2,0.2882,0.0509,0.7205,0.6273,,,159,374.7,0.2
c1,none,3fa9484,1,2,3,0.7691,0.6921,0.3056,0.0741,,,181,409.9,0.1
c1,bn,3fa9484,1,2,3,0.7604,0.6806,0.3229,0.0972,,,181,409.9,0.2
c1,none,3fa9484,1,3,4,0.4132,0.2176,0.7326,0.6435,,,149,352.5,0.1
c1,bn,3fa9484,1,3,4,0.4444,0.2593,0.7569,0.6759,,,149,352.5,0.2
c1,none,3fa9484,1,4,5,0.2969,0.0625,0.3854,0.1806,,,58,191.5,0.1
c1,bn,3fa9484,1,4,5,0.3559,0.1412,0.4375,0.25,,,58,191.5,0.2
c1,none,3fa9484,1,5,6,0.4115,0.2153,0.3542,0.1389,,,187,422.5,0.1
c1,bn,3fa9484,1,5,6,0.4427,0.2569,0.349,0.1319,,,187,422.5,0.2
c1,none,3fa9484,1,6,7,0.316,0.088,0.3715,0.162,,,70,214.1,0.1
c1,bn,3fa9484,1,6,7,0.4566,0.2755,0.4514,0.2685,,,70,214.1,0.2
c1,none,3fa9484,1,7,8,0.6528,0.537,0.3038,0.0718,,,98,263.3,0.1
c1,bn,3fa9484,1,7,8,0.6354,0.5139,0.4236,0.2315,,,98,263.3,0.2
c1,none,3fa9484,1,8,9,0.5035,0.338,0.6128,0.4838,,,122,317.1,0.1
c1,bn,3fa9484,1,8,9,0.5226,0.3634,0.6181,0.4907,,,122,317.1,0.2
c1,none,3fa9484,1,9,1,0.7413,0.6551,0.6215,0.4954,,,34,154.7,0.1
c1,bn,3fa9484,1,9,1,0.7622,0.6829,0.5955,0.4606,,,34,154.7,0.2
